488138.204545 [RLC]    E 83532 SDU rejected, SDU buffer full
488139.205560 [RLC]    E 83503 SDU rejected, SDU buffer full
488140.206662 [RLC]    E 83439 SDU rejected, SDU buffer full
488141.207556 [RLC]    E 83116 SDU rejected, SDU buffer full
488142.208547 [RLC]    E 83531 SDU rejected, SDU buffer full
488143.209547 [RLC]    E 82815 SDU rejected, SDU buffer full
488144.210603 [RLC]    E 83528 SDU rejected, SDU buffer full
488145.211570 [RLC]    E 83527 SDU rejected, SDU buffer full
488146.212556 [RLC]    E 83490 SDU rejected, SDU buffer full
488147.213562 [RLC]    E 83473 SDU rejected, SDU buffer full
488148.214541 [RLC]    E 82118 SDU rejected, SDU buffer full
488149.215542 [RLC]    E 84580 SDU rejected, SDU buffer full
488150.216598 [RLC]    E 83566 SDU rejected, SDU buffer full
