start_s,end_s,mbps
0.0,1.001058,388.1584232024648
1.001058,2.001065,325.9980271424006
2.001065,3.001053,359.8448231329943
3.001053,4.00107,366.2183971012037
4.00107,5.001085,355.1657052795237
5.001085,6.001089,369.2750152855845
6.001089,7.001076,362.97258839777845
7.001076,8.001081,363.36506070738915
8.001081,9.001097,363.37185948163767
9.001097,10.001384,357.58106622045483
10.001384,11.001064,364.4109218130635
11.001064,12.001086,359.19633438513125
12.001086,13.002776,361.96791133534697
13.002776,14.001063,363.99038748455035
14.001063,15.00107,362.9653191385683
15.00107,16.00111,362.26318579396496
16.00111,17.001069,355.08854546951216
17.001069,18.001082,369.2717137525674
18.001082,19.001051,355.67812803560753
19.001051,20.001065,367.8478934463333
20.001065,21.001056,363.6828892556032
21.001056,22.001061,363.8826901157273
22.001061,23.001075,363.16770272323197
23.001075,24.001071,364.468303508252
24.001071,25.000143,363.5100998161987
25.000143,26.001087,362.32387960395533
26.001087,27.001066,356.47259909276966
27.001066,28.001061,368.9871914414397
28.001061,29.001077,359.3171402519043
29.001077,30.001082,361.2406233440012
30.001082,31.001055,368.5423669771014
31.001055,32.001199,360.2739108196814
32.001199,33.001105,367.1542232210524
33.001105,34.001079,362.28711098162677
34.001079,35.001073,362.2798769499009
35.001073,36.001118,363.65248876542944
36.001118,37.000781,363.4893776146837
37.000781,38.001112,363.5484813848793
38.001112,39.001054,363.29089317137243
39.001054,40.000999,364.0878703259081
40.000999,41.001061,362.848323456756
41.001061,42.001083,364.0598111273839
42.001083,43.001069,362.8758988359262
43.001069,44.00128,363.48429665256276
44.00128,45.001092,363.2410547936384
45.001092,46.001076,363.77169890541524
46.001076,47.001052,362.87953261017196
47.001052,48.001082,363.0648052642309
48.001082,49.001105,364.15651770792607
49.001105,50.001152,363.4468654604073
50.001152,51.001072,363.40673269860184
51.001072,52.001162,360.07770392151303
52.001162,53.001073,367.74555757958757
53.001073,54.001058,359.13416232817144
54.001058,55.001073,361.161519220177
55.001073,56.001054,367.02963465804766
56.001054,57.001074,362.949819145666
57.001074,58.00016,360.45033954454135
58.00016,59.001075,366.0837668636764
59.001075,60.00107,359.42173554920925
60.00107,61.00108,368.0003149992871
61.00108,62.001076,363.37911515856626
62.001076,63.001105,355.85090776166226
63.001105,64.001078,367.99236812663514
64.001078,65.001076,362.2784301782228
65.001076,66.001055,361.1529532905086
66.001055,67.001076,363.165148491956
67.001076,68.001733,365.15437930453163
68.001733,69.001058,363.0188058989624
69.001058,70.001091,362.3627864281387
70.001091,71.001105,363.1569188736396
71.001105,72.001072,363.0877015092628
72.001072,73.001113,363.556867261585
73.001113,74.001083,364.17581440473685
74.001083,75.001075,363.2727254673956
75.001075,76.001057,363.772436123104
76.001057,77.001066,359.81572699671113
77.001066,78.001066,360.541472
78.001066,79.002559,364.65573731936126
79.002559,80.001064,366.77296694273343
80.001064,81.001068,363.3654072379105
81.001068,82.001072,356.16172443527137
82.001072,83.00019,369.2139456041609
83.00019,84.001061,362.3503334883325
84.001061,85.001066,363.96896168378373
85.001066,86.001067,362.96752584719286
86.001067,87.001052,363.674294522639
87.001052,88.00107,356.6635958403058
88.00107,89.001055,369.37911621117433
89.001055,90.001056,359.72154494280153
90.001056,91.001177,363.7218785878584
91.001177,92.001071,366.66250581379563
92.001071,93.001143,363.6426488525807
93.001143,94.001079,362.68913768604966
94.001079,95.001073,355.2702347513703
95.001073,96.001069,369.18093032818
96.001069,97.000127,362.9215170953359
97.000127,98.001056,356.1342719759287
98.001056,99.00107,369.7674186737803
99.00107,100.000444,363.8966413352284
100.000444,101.001052,362.25157086275385
101.001052,102.000141,363.10454729515425
102.000141,103.000637,363.2945150747936
103.000637,104.001075,363.30481759801296
104.001075,105.001057,363.772436123104
105.001057,106.001065,359.0180605147087
106.001065,107.001061,361.83699700010004
107.001061,108.00107,367.2566204699394
108.00107,109.001068,363.46467258221173
109.001068,110.001066,362.6774389868373
110.001066,111.001072,362.6745422912738
111.001072,112.000563,364.24246403449484
112.000563,113.001052,355.79507345232327
113.001052,114.001077,369.3751050817906
114.001077,115.001068,360.9437286023318
115.001068,116.00107,358.189834107554
116.00107,117.001059,361.48366602951853
117.001059,118.001068,361.77839744907
118.001068,119.001074,362.07064189080063
119.001074,120.001072,369.2772603617575
120.001072,121.001055,362.9740379574996
121.001055,122.000159,364.2971859071195
122.000159,123.001054,362.8480105595187
123.001054,124.001071,363.5655783236155
124.001071,125.001076,363.46211622145256
125.001076,126.001071,357.36198123645164
126.001071,127.000077,369.546795367052
127.000077,128.001044,364.11473966829715
128.001044,129.001073,364.5533436707401
129.001073,130.001075,363.2690878141521
130.001075,131.001076,362.654790145441
131.001076,132.000188,364.60728762455886
132.000188,133.001065,363.54410754951357
133.001065,134.000998,362.70100337885987
134.000998,135.001076,363.6404815424594
135.001076,136.001058,362.8773480109784
136.001058,137.001082,356.0575804803872
137.001082,138.001064,369.186101572345
138.001064,139.001074,363.3632414329957
139.001074,140.001064,363.4783597197505
140.001064,141.001066,364.26121380355136
141.001066,142.001054,363.86730332445336
142.001054,143.001067,362.5749367692323
143.001067,144.00106,364.868400498614
144.00106,145.001072,363.1576115321526
145.001072,146.001078,359.00800414554413
146.001078,147.00014,363.4273902723701
147.00014,148.001067,363.03036122490823
148.001067,149.001055,363.479074673267
149.001055,150.001054,364.3917292304729
150.001054,151.003241,362.6707700840385
151.003241,152.001057,359.50412358302
152.001057,153.001053,362.3546310672775
153.001053,154.001073,364.85854891922827
154.001073,155.001074,362.66557413515653
155.001074,156.002796,363.84032290021065
156.002796,157.001063,367.9514857818539
157.001063,158.001057,359.62699697938
158.001057,159.000946,363.40721233102323
159.000946,160.001067,363.915967103647
160.001067,161.001257,404.8514862794636
161.001257,162.001058,362.5978921994747
162.001058,163.001081,323.0704229918492
163.001081,164.001058,362.65269569305
164.001058,165.001063,362.9660547051285
165.001063,166.001055,351.11906039580043
166.001055,167.001071,362.2395575690791
167.001071,168.001066,359.9717223028775
168.001066,169.001137,361.23833447273427
169.001137,170.001061,366.98584142741277
170.001061,171.001072,358.75817740771464
171.001072,172.001066,363.207306533091
172.001066,173.001058,367.3598941117031
173.001058,174.00108,359.422793390868
174.00108,175.00108,367.378528
175.00108,176.000399,363.25838080611453
176.000399,177.00107,362.1640813657313
177.00107,178.000422,359.9875197237895
178.000422,179.001065,363.672233332401
179.001065,180.00105,363.3184171772295
180.00105,181.001061,356.92491751354277
181.001061,182.001074,364.32192206923276
182.001074,183.001067,363.9086178053357
183.001067,184.001065,363.10879986101503
184.001065,185.001064,363.9064487387484
185.001064,186.001062,364.4028824835484
186.001062,187.001069,363.4074600288375
187.001069,188.001076,363.90352053987124
188.001076,189.000157,356.0374328512872
189.000157,190.001063,363.16726187430135
190.001063,191.001073,345.5590357168398
191.001073,192.001052,278.7722488745453
192.001052,193.001113,362.16931893902955
193.001113,194.001068,316.1148336438375
194.001068,195.001054,357.3651976470303
195.001054,196.001062,364.09728394683736
196.001062,197.001073,374.03893781972414
197.001073,198.001067,352.57421852116624
198.001067,199.001056,363.5110803855314
199.001056,200.001063,353.4646819598566
200.001063,201.001079,364.3208363226391
201.001079,202.001062,361.89561963805846
202.001062,203.001077,362.80066259963615
203.001077,204.001055,364.25917955789237
204.001055,205.001075,362.56160292053477
205.001075,206.001071,362.9154013067198
206.001071,207.001065,366.90624080093096
207.001065,208.001071,362.6421904841056
208.001071,209.001066,362.91576904310176
209.001066,210.001073,362.6094496415223
210.001073,211.001055,365.84300139452677
211.001055,212.000721,360.5001278494751
212.000721,213.001057,365.8321017610378
213.001057,214.001077,357.62262983414223
214.001077,215.001071,365.14843821883795
215.001071,216.001071,364.208032
216.001071,217.001077,366.43813585850796
217.001077,218.000879,363.1799760431194
218.000879,219.001067,360.2149380952682
219.001067,220.000078,364.0612478082553
220.000078,221.001059,366.3828602171718
221.001059,222.001071,364.09580823613453
222.001071,223.00107,359.57127634600937
223.00107,224.00108,363.7191098694786
224.00108,225.001059,366.340166122565
225.001059,226.00107,356.84943034142975
226.00107,227.001059,365.0532093903709
227.001059,228.00107,359.7718622903745
228.00107,229.00107,362.212992
229.00107,230.001076,364.45389168552487
230.001076,231.001054,362.8033075372773
231.001054,232.001082,361.7714972670553
232.001082,233.001055,362.2227723423328
233.001055,234.00108,366.0321487691944
234.00108,235.001069,363.316966245062
235.001069,236.001067,360.175545916606
236.001067,237.001057,362.41073302898485
237.001057,238.001073,365.442354407459
238.001073,239.001078,364.0120974678119
239.001078,240.000913,361.11868340314174
240.000913,241.001057,363.06656466406224
241.001057,242.001068,366.03729757575024
242.001068,243.001063,364.1127990363797
243.001063,244.001069,367.0312523232584
244.001069,245.001078,357.2383740400423
245.001078,246.000139,366.28820486371035
246.000139,247.001056,363.1740566958989
247.001056,248.001069,367.72962179022136
248.001069,249.00107,363.409669425532
249.00107,250.001068,359.98143352322603
250.001068,251.001057,361.8826784293721
251.001057,252.001075,362.195688259308
252.001075,253.00107,363.90790201050334
253.00107,254.001068,365.750885215354
254.001068,255.001065,364.1012771063642
255.001065,256.001056,367.73770975020955
256.001056,257.001061,363.69936303360754
257.001061,258.001065,360.4860909081131
258.001065,259.001075,363.298538080908
259.001075,260.00101,360.6943354719925
260.00101,261.001068,366.9582162686392
261.001068,262.001077,359.75102357520484
262.001077,263.001072,364.4363206561846
263.001072,264.001053,359.78264886471726
264.001053,265.000289,363.0943045280562
265.000289,266.000163,365.2893239959993
266.000163,267.001058,361.8998671699876
267.001058,268.001071,367.31983511491256
268.001071,269.001061,357.05103135918165
269.001061,270.001084,365.24567664921835
270.001084,271.001067,363.51324711722015
271.001067,272.00107,362.90208646750244
272.00107,273.001056,366.11114415230344
273.001056,274.001067,359.7718622903745
274.001067,275.001069,364.11023810951235
275.001069,276.001056,362.12064132773787
276.001056,277.00106,366.223155655125
277.00106,278.001075,357.2362021798932
278.001075,279.001081,365.9420748152622
279.001081,280.00107,363.7051945260007
280.00107,281.001113,366.90981020013305
281.001113,282.00106,360.30174785968916
282.00106,283.001071,366.5225722536193
283.001071,284.001075,357.24012006440904
284.001075,285.001061,364.0298029987674
285.001061,286.00107,361.91858819566704
286.00107,287.001069,364.6289774708715
287.001069,288.001057,363.1124142804798
288.001057,289.001078,356.9968299084301
289.001078,290.00111,358.43792459306917
290.00111,291.001051,364.89817212966966
291.001051,292.001077,366.12885318061717
292.001077,293.001055,359.78372112414974
293.001055,294.001067,362.71547285556335
294.001067,295.001055,367.4368500895283
295.001055,296.00107,352.8687477806763
296.00107,297.001065,365.09414794978784
297.001065,298.001062,366.9806136874559
298.001062,299.00107,360.5817280256613
299.00107,300.001069,360.96241375561965
300.001069,301.001059,355.00205084155067
301.001059,302.001078,359.909178181728
302.001078,303.001057,364.3558684903439
303.001057,304.001071,359.4796261626314
304.001071,305.001071,365.642304
305.001071,306.001105,363.2035642869246
306.001105,307.001121,359.759277189189
307.001121,308.001251,351.52346579488403
308.001251,309.001059,361.10686366484396
309.001059,310.001071,364.5055953022416
310.001071,311.001073,366.935640383671
311.001073,312.00107,364.5002862955043
312.00107,313.00107,360.174816
313.00107,314.001089,355.20744329971353
314.001089,315.001079,354.34422025431127
315.001079,316.00107,360.41530784638576
316.00107,317.001075,364.9503007704248
317.001075,318.000095,362.37401362479324
318.000095,319.001072,360.11413832099356
319.001072,320.001058,369.23854795813475
320.001058,321.001064,358.889380852594
321.001064,322.001073,361.9078042920826
322.001073,323.001071,361.167675927215
323.001071,324.001066,362.91576904310176
324.001066,325.00107,368.3799469134003
325.00107,326.001062,359.77868156038863
326.001062,327.001067,366.03947931713634
327.001067,328.001066,357.33898608407657
328.001066,329.001057,368.384755573817
329.001057,330.001069,358.2725183493498
330.001069,331.001072,366.95685838334043
331.001072,332.001073,361.05875966753416
332.001073,333.001056,362.3162027826405
333.001056,334.000084,362.3710948993327
334.000084,335.00107,366.87660299455166
335.00107,336.001067,359.9817768292966
336.001067,337.001068,363.9165169421645
337.001068,338.001053,365.7340694612217
338.001053,339.001067,356.41701287839004
339.001067,340.000553,361.35266873898746
340.000553,341.001073,362.38042946672175
341.001073,342.001063,362.820529132511
342.001063,343.001056,362.90569881123605
343.001056,344.001076,362.108683991215
344.001076,345.001069,363.0135395632897
345.001069,346.001085,362.7032621618412
346.001085,347.001076,361.72018359066067
347.001076,348.001068,363.31586181192654
348.001068,349.001075,363.6015706635898
349.001075,350.001068,358.1391375704608
350.001068,351.001069,353.6285907534955
351.001069,352.001077,354.6505753979102
352.001077,353.00108,353.78963362472814
353.00108,354.001086,363.0088442986785
354.001086,355.000303,361.3312518437261
355.000303,356.001074,363.528726743938
356.001074,357.001058,364.31090751875774
357.001058,358.001067,363.999881587454
358.001067,359.001073,362.80394951994657
359.001073,360.001055,362.8234270403684
360.001055,361.001062,363.6015706635898
361.001062,362.00105,363.31731273527265
362.00105,363.001062,362.49979545234913
363.001062,364.00106,364.30582628685846
364.00106,365.001069,364.9057294885426
365.001069,366.001065,362.4085512826085
366.001065,367.000184,362.9317487699132
367.000184,368.001077,364.0770243866291
368.001077,369.001061,364.11679241795446
369.001061,370.001066,362.7072400009594
370.001066,371.001066,362.709056
371.001066,372.001055,361.91503078611703
372.001055,373.001069,361.90599232092126
373.001069,374.001066,363.4110990494733
374.001066,375.001055,362.8208967749738
375.001055,376.001059,363.1065922869175
376.001059,377.001056,363.2062024388338
377.001056,378.000095,363.6624416748574
378.000095,379.001078,355.45788097351317
379.001078,380.001081,360.4325578272713
380.001081,381.001064,362.4132604313902
381.001064,382.001078,364.50490007268945
382.001078,383.000092,363.6607382269959
383.000092,384.001071,363.6471448327686
384.001071,385.001057,363.62000525869297
385.001057,386.001074,363.8998766248563
386.001074,387.001069,363.6059484986855
387.001069,388.001054,362.52038919055343
388.001054,389.001073,363.2952900004265
389.001073,390.001065,363.2188050367319
390.001065,391.001072,362.7065049588985
391.001072,392.000763,364.71973492541866
392.000763,393.001057,363.896161406119
393.001057,394.001066,363.9028264551945
394.001066,395.001069,361.2844912883117
395.001069,396.001472,364.8913317864454
396.001472,397.001072,363.145484652751
397.001072,398.001076,363.7104938392345
398.001076,399.000168,364.04252485899866
399.000168,400.001072,363.4696764818618
400.001072,401.001346,363.0194013952229
401.001346,402.001081,362.589463023771
402.001081,403.001079,363.205856057705
403.001079,404.000182,363.0346945993376
404.000182,405.001057,352.7810459305636
405.001057,406.00107,365.0336568210848
406.00107,407.001071,362.2018625773863
407.001071,408.001067,363.0232417373817
408.001067,409.001055,362.3251728489074
409.001055,410.001067,361.60473422901
410.001067,411.001075,362.41499338332983
411.001075,412.001068,364.5017419416313
412.001068,413.001076,364.10806786070594
413.001076,414.001067,362.4103658025086
414.001067,415.000099,363.5678301814443
415.000099,416.001067,362.4552627609345
416.001067,417.00107,362.8158147246122
417.00107,418.001088,362.4976348240878
418.001088,419.00107,362.61852735205053
419.00107,420.001055,363.3184171772295
420.001055,421.001081,363.3790046426501
421.001081,422.001067,364.7307728173158
422.001067,423.001071,364.0016606591017
423.001071,424.000827,364.29692825217097
424.000827,425.001056,363.2189984697041
425.001056,426.000404,364.14350710496313
426.000404,427.001068,362.97489021815267
427.001068,428.001058,364.1038379830273
428.001058,429.00107,362.6076341539562
429.00107,430.000179,363.53980714562397
430.000179,431.001059,363.381407280365
431.001059,432.001074,363.30750298670574
432.001074,433.001061,364.503936295826
433.001061,434.001062,363.6037812404125
434.001062,435.001067,363.7101469796146
435.001067,436.001056,362.02287197526664
436.001056,437.001093,363.1916982944594
437.001093,438.001058,362.1286061290487
438.001058,439.001067,363.9028264551945
439.001067,440.001059,363.11096417540455
440.001059,441.001081,364.20000003569714
441.001081,442.001059,364.0111421025283
442.001059,443.001072,363.2866715210843
443.001072,444.001077,364.0228814138189
444.001077,445.001072,364.00495849644483
445.001072,446.001058,363.9111773371669
446.001058,447.001065,363.4074600288375
447.001065,448.001084,363.1011816796094
448.001084,449.001072,363.7163255156587
449.001072,450.001083,366.3284623824717
450.001083,451.001058,360.6906720136999
451.001058,452.001138,363.74757603753267
452.001138,453.001059,364.118164652365
453.001059,454.001072,367.72962179022136
454.001072,455.001078,360.97068044708175
455.001078,456.001069,362.21625205542637
456.001069,457.001071,363.3984955518998
457.001071,458.000101,363.25552803776117
458.000101,459.001068,355.4635535880639
459.001068,460.001059,361.59077442593923
460.001059,461.00107,363.5030853691008
461.00107,462.000242,362.610299381338
462.000242,463.001063,362.4115181813637
463.001063,464.001074,361.28160573263364
464.001074,465.001068,358.23585260459475
465.001068,466.00107,366.299385673078
466.00107,467.00107,356.227872
467.00107,468.001068,343.3956079110897
468.001068,469.001064,345.2187866350909
469.001064,470.001072,344.50291244752145
470.001072,471.001068,346.02758986505563
471.001068,472.001079,364.7108801229082
472.001079,473.001079,363.000224
473.001079,474.001069,361.97936870948354
474.001069,475.001081,365.7349565005629
475.001081,476.001079,364.295042265004
476.001079,477.001069,362.0225051414337
477.001069,478.001068,363.4103842360966
478.001068,479.001056,363.81338267845524
479.001056,480.00108,361.80531475853985
480.00108,481.00107,363.510712043713
481.00107,482.000473,363.62710142393814
