start_s,end_s,mbps
0.0,1.00115,377.02798129103536
1.00115,2.001052,363.30542431161115
2.001052,3.001057,363.26800519332573
3.001057,4.001061,311.7749603399683
4.001061,5.001066,367.43060835204517
5.001066,6.001102,360.61476143388734
6.001102,7.001073,357.81272239520445
7.001073,8.001067,368.44836208460777
8.001067,9.001069,362.66518503799614
9.001069,10.00108,357.593518180829
10.00108,11.001064,368.6569289422987
11.001064,12.00105,358.09851991874245
12.00105,13.001068,369.3345677551743
13.001068,14.001052,362.67171333419645
14.001052,15.001062,363.6651904094054
15.001062,16.00107,348.8919653920572
16.00107,17.001067,377.5489651835977
17.001067,18.001066,363.2701920940429
18.001066,19.001082,362.5738562289774
19.001082,20.001086,364.0555804405586
20.001086,21.001078,348.5955842407398
21.001078,22.00107,377.0116512005032
22.00107,23.001071,363.8733809833021
23.001071,24.001082,350.918295389697
24.001082,25.001087,374.61271639273735
25.001087,26.001071,348.40425342515266
26.001071,27.001065,376.2452410223579
27.001065,28.000284,364.7625113975617
28.000284,29.001073,362.77867883027153
29.001073,30.001081,348.49296057891763
30.001081,31.001066,371.3849703398465
31.001066,32.00107,368.44465065114855
32.00107,33.001061,350.93608653053724
33.001061,34.001054,377.74458629383014
34.001054,35.001052,360.53141863780274
35.001052,36.00106,362.9649729906303
36.00106,37.000125,363.6098057360986
37.000125,38.001051,362.642842287059
38.001051,39.001063,363.0605567007061
39.001063,40.001067,364.1634200034723
40.001067,41.001052,348.4039211559736
41.001052,42.001056,371.3778867624028
42.001056,43.001063,353.6587925946089
43.001063,44.001063,376.95472
44.001063,45.001052,362.8748173695486
45.001052,46.00107,363.7701239185172
46.00107,47.001074,363.4624628445329
47.001074,48.001069,364.16671930634726
48.001069,49.001064,363.17458633894563
49.001064,50.001068,357.7901018352691
50.001068,51.001052,368.6569289422987
51.001052,52.001049,362.8718974425273
52.001049,53.001067,352.1343973686082
53.001067,54.001057,363.0685636162243
54.001057,55.001066,363.4714703118189
55.001066,56.001065,362.04081484834074
56.001065,57.001045,366.2966798824516
57.001045,58.00105,362.86899919106503
58.00105,59.001122,362.6505922830454
59.001122,60.001068,362.98747397993674
60.001068,61.001051,363.27599508694317
61.001051,62.001063,374.092455875115
62.001063,63.001043,352.0507305765363
63.001043,64.001064,362.8632028270281
64.001064,65.001062,361.3510042987405
65.001062,66.001069,376.0246512877395
66.001069,67.001074,363.16016573325527
67.001074,68.001185,359.5849238812593
68.001185,69.001068,354.738049741575
69.001068,70.001064,362.96932152205073
70.001064,71.001134,363.0934402268137
71.001134,72.001071,363.19565009212704
72.001071,73.00107,365.55640241061167
73.00107,74.001072,361.5544352889948
74.001072,75.00108,364.2482587409983
75.00108,76.00084,397.94963101603355
76.00084,77.001071,328.9007188552487
77.001071,78.001071,362.978656
78.001071,79.001066,365.07257984180086
79.001066,80.001045,372.2822747929663
80.001045,81.000389,351.34674252698113
81.000389,82.001063,363.44543438877656
82.001063,83.001072,374.16910266753246
83.001072,84.001064,363.2727254673956
84.001064,85.001066,350.41458586454496
85.001066,86.001066,368.11184
86.001066,87.001061,360.6511177044677
87.001061,88.001076,357.71069105289456
88.001076,89.001084,362.9649729906303
89.001084,90.001067,361.151510997644
90.001067,91.001064,364.9963517738946
91.001064,92.001047,364.1710822920793
92.001047,93.001062,374.2962339318958
93.001062,94.001062,352.334848
94.001062,95.001926,363.0531915391403
95.001926,96.001046,363.0824896712495
96.001046,97.00106,363.45886666222674
97.00106,98.001063,373.7938940073864
98.001063,99.001059,350.91276137404276
99.001059,100.00106,375.82204158817143
100.00106,101.000674,364.100542692809
101.000674,102.00107,359.97833980416516
102.00107,103.001067,356.3906941270362
103.001067,104.001063,362.9369693928521
104.001063,105.001065,362.8592966446177
105.001065,106.001067,374.16090574125224
106.001067,107.001065,353.9423812847369
107.001065,108.001071,361.5637969118321
108.001071,109.001065,363.82199823357763
109.001065,110.001065,369.254944
110.001065,111.001062,369.3423167258794
111.001062,112.001064,353.12136437910146
112.001064,113.001052,362.7457538876926
113.001052,114.001064,362.6507696345991
114.001064,115.001064,369.017696
115.001064,116.001057,357.513661208549
116.001057,117.001066,362.9646268433526
117.001066,118.001074,363.6659273920918
118.001074,119.001071,363.2709066316674
119.001071,120.001064,363.973322256568
120.001064,121.000859,363.4413783494368
121.000859,122.001068,362.7950013192672
122.001068,123.001052,363.3726845315417
123.001052,124.001064,362.8664470378133
124.001064,125.001125,363.05355296966735
125.001125,126.00106,363.2934484888485
126.00106,127.001056,356.4881116392665
127.001056,128.000146,359.98476441610364
128.000146,129.001068,363.04295123420553
129.001068,130.001064,363.1634342972423
130.001064,131.001048,361.755058691514
131.001048,132.00107,365.38621387527104
132.00107,133.001061,363.2730935673185
133.001061,134.001064,370.041073191664
134.001064,135.001061,362.88268147466624
135.001061,136.001075,364.2568715320643
136.001075,137.001081,355.49244109993276
137.001081,138.001066,363.965466896156
138.001066,139.001094,362.8714344532136
139.001094,140.001062,363.4755700149103
140.001062,141.001065,363.1716856640342
141.001065,142.001061,363.27127472790426
142.001061,143.001211,363.5064786468742
143.001211,144.001065,370.31191108698533
144.001065,145.001062,355.9269807450626
145.001062,146.001063,364.2292526439165
146.001063,147.001049,367.35132152358136
147.001049,148.00107,366.00128098752805
148.00107,149.001064,355.5937566989948
149.001064,150.001064,373.795008
150.001064,151.001066,363.36614361746297
151.001066,152.001084,352.0373431156432
152.001084,153.00105,364.08020949678735
153.00105,154.001062,363.65366955954534
154.001062,155.001066,363.55951845115527
155.001066,156.001054,374.89946749566695
156.001054,157.00106,352.6346981334082
157.00106,158.001067,362.771208503816
158.001067,159.001065,363.2597761669773
159.001065,160.00107,362.16804270060715
160.00107,161.001067,362.58072857477646
161.001067,162.001069,363.1612480326957
162.001069,163.001068,363.2701920940429
163.001068,164.001062,363.6710213246862
164.001062,165.001066,363.07424041804336
165.001066,166.001062,363.4653875030958
166.001062,167.005293,361.052045423248
167.005293,168.001072,364.6039292537218
168.001072,169.001063,363.2730935673185
169.001063,170.001064,363.2694775592293
170.001064,171.001066,362.1475540870052
171.001066,172.001066,372.662688
172.001066,173.001062,363.5732279337578
173.001062,174.001062,355.49456
174.001062,175.001063,363.07536574434874
175.001063,176.001067,362.9664008551296
176.001067,177.001046,363.0725455651573
177.001046,178.001069,363.1644125336796
178.001069,179.001049,362.28495153892356
179.001049,180.001067,361.9368769180681
180.001067,181.001065,364.89894748885297
181.001065,182.001069,363.4624628445329
182.001069,183.001063,363.07789775404126
183.001063,184.001065,362.0720662399857
184.001065,185.002005,362.831718793423
185.002005,186.00106,363.71057632464954
186.00106,187.001065,363.26800519332573
187.001065,188.001048,363.07109560624934
188.001048,189.001066,363.1662307889575
189.001066,190.001066,362.77376
190.001066,191.001069,363.1716856640342
191.001069,192.001886,362.6715906133298
192.001886,193.001065,363.05025421733035
193.001065,194.001071,363.2784426917469
194.001071,195.001073,363.5818231803758
195.001073,196.001064,370.3474612387595
196.001064,197.001054,363.9744286871769
197.001054,198.001064,355.6851103185784
198.001064,199.001069,363.66701119558644
199.001069,200.001068,363.7662565966946
200.001068,201.001048,362.98592557744325
201.001048,202.001063,363.2643676346147
202.001063,203.001065,363.17203201084135
203.001065,204.001137,364.03084490152924
204.001137,205.001063,363.8036040056543
205.001063,206.001068,363.55917173551603
206.001068,207.001074,362.0382900836325
207.001074,208.001049,365.00437974573
208.001049,209.001065,363.2640212042511
209.001065,210.001055,370.35862061579553
210.001055,211.001057,355.89284676253186
211.001057,212.001069,362.9635018692597
212.001069,213.001062,370.756505560748
213.001062,214.000749,356.5982975578955
214.000749,215.00105,362.8586502921805
215.00105,216.001064,362.96280958097634
216.001064,217.000099,363.4264182024294
217.000099,218.001062,360.89490008494505
218.001062,219.001065,365.1020159112017
219.001065,220.001084,363.3599927740322
220.001084,221.001065,362.27380023117456
221.001065,222.00106,370.8528327823144
222.00106,223.001063,356.1836744899304
223.001063,224.001529,362.7018009095636
224.001529,225.001067,362.9414373477126
225.001067,226.001076,362.3715121462113
226.001076,227.001047,370.257819644792
227.001047,228.001065,355.8871618165862
228.001065,229.001066,363.2694775592293
229.001066,230.001069,363.2687413747856
230.001069,231.001051,363.783220317226
231.001051,232.00105,363.0652958864259
232.00105,233.001063,362.963155724788
233.001063,234.00106,363.7777561421966
234.00106,235.001049,362.8748173695486
235.001049,236.001063,363.9549237434771
236.001063,237.001061,370.355662547202
237.001061,238.00105,357.1915867013638
238.00105,239.001066,374.3929314305406
239.001066,240.001062,363.3683311155
240.001062,241.001073,351.9427641540873
241.001073,242.001067,362.7651598713376
242.001067,243.001052,370.55458986722414
243.001052,244.001063,362.2737228518326
244.001063,245.001061,354.90215922978246
245.001061,246.001063,362.87008062276334
246.001063,247.001067,369.4475585862465
247.001067,248.001485,355.43227987153847
248.001485,249.001659,362.2901290106197
249.001659,250.001068,365.11398308105333
250.001068,251.001064,362.96932152205073
251.001064,252.00106,363.476171546162
252.00106,253.000293,363.5486631230743
253.000293,254.001052,363.18827408552005
254.001052,255.001053,363.172421651789
255.001053,256.001065,363.1683954023133
256.001065,257.001071,363.17060333451957
257.001071,258.001065,363.36906750690326
258.001065,259.001063,363.3676163855217
259.001063,260.001068,370.6442242621447
260.001068,261.001065,356.5955907376757
261.001065,262.001069,363.95852483393617
262.001069,263.001066,371.15403412521795
263.001066,264.001071,356.28000818076043
264.001071,265.001059,362.4869347869017
265.001059,266.001051,362.0756919066617
266.001051,267.001062,363.3628949066053
267.001062,268.001068,370.64387079037436
268.001068,269.001072,355.3960635385837
269.001072,270.001067,363.2716428248871
270.001067,271.001058,361.741751784781
271.001058,272.001059,364.8008040988425
272.001059,273.001062,362.2766163315486
273.001062,274.001064,362.87008062276334
274.001064,275.001084,374.58552211557344
275.001084,276.001047,362.9813075659484
276.001047,277.001062,352.03839225292404
277.001062,278.001048,362.983740346472
278.001048,279.001061,363.76116135565235
279.001061,280.00106,363.0652958864259
280.00106,281.001067,363.0731583800973
281.001067,282.001066,361.14574194138225
282.001066,283.001066,362.870816
283.001066,284.001066,364.801152
284.001066,285.001047,363.67574688762244
285.001047,286.001067,370.9298193289204
286.001067,287.001074,356.2900700879184
287.001074,288.001066,370.7568812435154
288.001066,289.001049,355.9966714307154
289.001049,290.000907,363.21355242958253
290.000907,291.001062,363.32135933453765
291.001062,292.001066,363.55951845115527
292.001066,293.001068,363.77593478699737
293.001068,294.001068,364.057056
294.001068,295.00136,363.06677299736424
295.00136,296.00107,361.670828075899
296.00107,297.001063,362.3557109757619
297.001063,298.00105,365.2049054040872
298.00105,299.000771,370.846605667502
299.000771,300.001072,356.08833618012727
300.001072,301.001472,363.0167964608843
301.001472,302.001064,364.11934243180104
302.001064,303.001069,363.36506070738915
303.001069,304.001063,363.272010922616
304.001063,305.001069,363.07354791301503
305.001069,306.001071,363.2690878141521
306.001071,307.000092,363.52866484964153
307.000092,308.001068,363.3142494804096
308.001068,309.001051,363.4701103844426
309.001051,310.001063,363.3625050652061
310.001063,311.001064,363.47437336382546
311.001064,312.001057,361.05083787591167
312.001057,313.001076,365.27950839100146
313.001076,314.001174,363.2342306646568
314.001174,315.001046,364.11443615125756
315.001046,316.001064,370.3374617024788
316.001064,317.001063,355.7968725214854
317.001063,318.00105,362.476517951932
318.00105,319.001068,363.36033929488735
319.001068,320.001049,363.0826156098945
320.001049,321.001066,363.5655783236155
321.001066,322.00107,362.664450078971
322.00107,323.001062,363.4776231039176
323.001062,324.00105,362.9722206008847
324.00105,325.001068,363.2632850419224
325.001068,326.001062,362.560262637842
326.001062,327.001066,362.2546597398988
327.001066,328.001066,365.09232
328.001066,329.001073,363.56921889113113
329.001073,330.001067,370.55125474416695
330.001067,331.001044,363.375240316918
331.001044,332.001744,363.01571410796043
332.001744,333.001062,356.13645175860586
333.001062,334.001051,363.5757850990211
334.001051,335.001069,362.6701757182477
335.001069,336.001068,363.4643042907327
336.001068,337.001063,363.0775298530042
337.001063,338.001067,363.7644136206914
338.001067,339.001063,364.2634066899943
339.001063,340.000119,362.18824835765747
340.000119,341.001071,364.5511533384208
341.001071,342.001075,363.2683516312881
342.001075,343.001065,363.0685636162243
343.001065,344.001074,362.9646268433526
344.001074,345.001764,363.0193466885517
345.001764,346.001063,363.02824651356974
346.001063,347.001074,363.2658399710315
347.001074,348.001061,362.7784738754907
348.001061,349.001069,362.975756904499
349.001069,350.00107,361.7381510196161
350.00107,351.001061,364.7936512527959
351.001061,352.001063,363.07497620753054
352.001063,353.001049,363.1778550654547
353.001049,354.001068,362.960992336797
354.001068,355.001069,363.36653346666964
355.001069,356.001068,370.7542956775276
356.001068,357.001067,363.5613603890776
357.001067,358.001069,356.0977423472991
358.001069,359.001068,363.173135995698
359.001068,360.000151,362.80450606658235
360.000151,361.002468,361.7845466608729
361.002468,362.001071,364.5879583596478
362.001071,363.001069,363.16271997028724
363.001069,364.001074,369.5550457154331
364.001074,365.001063,355.3906388425652
365.001063,366.001068,370.30992193592624
366.001068,367.001051,348.71734777448773
367.001051,368.001067,374.8674198510413
368.001067,369.001068,351.65512063554326
369.001068,370.000528,362.9697702390269
370.000528,371.001068,362.9767539896215
371.001068,372.000229,362.1393851261298
372.000229,373.000096,365.44286784797436
373.000096,374.001079,362.7191591385174
374.001079,375.001053,370.256694092165
375.001053,376.001064,355.79260993184835
376.001064,377.001065,369.84771128573675
377.001065,378.001069,355.9891811346094
378.001069,379.001073,370.64457773458923
379.001073,380.001076,362.8697345639186
380.001076,381.001081,356.1937366127041
381.001081,382.00187,363.47908617645527
382.00187,383.001063,363.56321489193476
383.001063,384.001065,363.07497620753054
384.001065,385.001068,362.44915981732896
385.001068,386.00107,362.35244967177243
386.00107,387.001067,363.8855964635858
387.001067,388.001063,362.872265134455
388.001063,389.001197,363.52306709294265
389.001197,390.001069,362.7231221031678
390.001069,391.00107,370.440830720094
391.00107,392.001052,355.89997441404824
392.001052,393.001084,363.86210330092183
393.001084,394.001064,373.8024942026007
394.001064,395.001051,362.9833725379055
395.001051,396.001067,362.865019577921
396.001067,397.001067,358.503296
397.001067,398.001061,371.953183183873
398.001061,399.001073,363.3732889353668
399.001073,400.000979,348.841269867078
400.000979,401.001051,371.7408497625913
401.001051,402.001069,369.722784767034
402.001069,403.001075,348.95737605195586
403.001075,404.000148,363.20749897672783
404.000148,405.001065,364.6070147337699
405.001065,406.001066,371.691773527102
406.001066,407.001064,355.35508814766916
407.001064,408.001064,358.94544
408.001064,409.001071,366.58871765394525
409.001071,410.001074,368.2293665909704
410.001074,411.001055,358.6179547193605
411.001055,412.000094,371.7366330186625
412.000094,413.001049,351.4923298799195
413.001049,414.001064,366.499519041442
414.001064,415.001063,359.5389243132277
415.001063,416.001061,370.0537099352776
416.001061,417.00105,359.5209563869956
417.00105,418.001063,362.370043431578
418.001063,419.001071,359.24452270595003
419.001071,420.001065,374.41194998581915
420.001065,421.001049,354.5727999617914
421.001049,422.001065,364.353187805855
422.001065,423.001072,370.88071946680253
423.001072,424.000834,351.01647039262804
424.000834,425.00223,365.8864282137738
425.00223,426.001049,363.00836321167014
426.001049,427.001074,359.529559554693
427.001074,428.00035,362.6373078005484
428.00035,429.00107,366.43529375415
429.00107,430.001051,362.9747735593985
430.001051,431.001063,370.0916400454907
431.001063,432.001069,351.8366868899259
432.001069,433.001062,370.8535622375964
433.001062,434.001048,355.6828700825141
434.001048,435.00107,362.66870580642916
435.00107,436.001064,366.2915491004445
436.001064,437.001067,363.1716856640342
437.001067,438.001091,366.0217577280665
438.001091,439.001067,367.6461751081272
439.001067,440.001057,354.6569593859497
440.001057,441.001246,363.6971686114854
441.001246,442.001063,359.6043626572083
442.001063,443.001065,362.6759690161417
443.001065,444.001057,366.20599689550016
444.001057,445.001063,366.83714148024916
445.001063,446.001067,354.8784336365977
446.001067,447.001047,370.3515450898885
447.001047,448.001069,360.5119533708404
448.001069,449.001059,363.8665876073016
449.001059,450.001067,360.3336980066826
450.001067,451.001074,362.97610306272117
451.001074,452.000086,366.6623928611108
452.000086,453.001069,362.8161198261806
453.001069,454.001064,367.121550100565
454.001064,455.001048,355.9963107010157
455.001048,456.001067,370.64983860027485
456.001067,457.00105,357.3123417804336
457.00105,458.001521,369.0487715405916
458.001521,459.001062,356.85538610688167
459.001062,460.001065,371.15182188137504
460.001065,461.001068,359.00907406958345
461.001068,462.001072,359.6449423173858
462.001072,463.001072,370.042176
463.001072,464.001071,359.5281403023005
464.001071,465.001068,362.66700083188783
