start_s,end_s,mbps
0.0,1.001037,413.5042514256115
1.001037,2.001039,396.71020404379317
2.001039,3.001041,401.4012345371481
3.001041,4.001036,400.4011407244919
4.001036,5.001041,401.98237135861814
5.001041,6.001038,398.8150765615485
6.001038,7.001029,384.44227609634083
7.001029,8.001044,415.5659820449894
8.001044,9.001035,401.1899788307125
9.001035,10.001059,398.793548480986
10.001059,11.001122,399.97495257459457
11.001122,12.001046,400.8286053394623
12.001046,13.001043,399.2033017185496
13.001043,14.001076,399.9869200426307
14.001076,15.001041,399.74451423167596
15.001041,16.001041,399.353088
16.001041,17.001049,400.84886241115703
17.001049,18.001037,401.1911744843459
18.001037,19.001044,398.81108302283354
19.001044,20.001113,399.9725210251988
20.001113,21.001048,400.02614116690523
21.001048,22.001035,400.0053255942242
22.001035,23.001035,400.010912
23.001035,24.001055,401.1675497530357
24.001055,25.001041,396.23127804777556
25.001041,26.001044,241.91675103189948
27.001063,28.001071,247.78198895970388
28.001071,29.001036,398.6445077447299
29.001036,30.001042,399.9977438276568
30.001042,31.00108,399.9741338782841
31.00108,32.001034,402.0136665727426
32.001034,33.001041,398.81108302283354
33.001041,34.001198,401.1233921752273
34.001198,35.001046,398.87451367292846
35.001046,36.001052,399.9977438276568
36.001052,37.001075,401.1771379599711
37.001075,38.00104,398.8278421592209
38.00104,39.001069,401.17474682715715
39.001069,40.00069,398.1559994504162
40.00069,41.001052,401.46159939963525
41.001052,42.00104,397.6000594608717
42.00104,43.001035,401.60895477176336
43.001035,44.001038,401.18517237501555
44.001038,45.00104,399.9993173782144
45.00104,46.001037,400.0013200968297
46.001037,47.001037,398.813888
47.001037,48.001043,399.9869598919341
48.001043,49.001051,401.1939476549534
49.001051,50.001084,398.8007192121365
50.001084,51.001035,401.20602509642345
51.001035,52.001059,398.8151159642061
52.001059,53.001063,399.98772280342297
53.001063,54.001039,398.392097645843
54.001039,55.00106,400.4770056580386
55.00106,56.001066,398.39093740496946
56.001066,57.00104,403.936001337376
57.00104,58.001073,398.789935568223
58.001073,59.001057,400.39474792364103
59.001057,60.001044,399.61709654964875
60.001044,61.001042,401.18718102906
61.001042,62.001039,398.8258605936874
62.001039,63.001075,401.17192532709777
63.001075,64.001049,398.81346821490564
64.001049,65.001051,399.9993173782144
65.001051,66.001042,401.1899788307125
66.001042,67.001037,398.0178647919294
67.001037,68.001034,401.187563632111
68.001034,69.001061,398.0051492240967
69.001061,70.001036,401.60618985200574
70.001036,71.00107,401.17273829762087
71.00107,72.001051,399.2097025260507
72.001051,73.001039,399.61669162120097
