,result,table,_start,_stop,_time,_value,_field,_measurement,asset_id,asset_tag,category,pdu_ip,sensor_id,sensor_name
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:38:59.746407936Z,38.86,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:39:59.737927936Z,37.79,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:40:59.718530816Z,37.82,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:41:59.74865792Z,40.36,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:42:59.754396928Z,40.15,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:43:59.753166848Z,40.8,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:44:59.73412096Z,40.38,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:45:59.751956992Z,40.5,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:46:59.760025088Z,39.69,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:47:59.75025792Z,40.16,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:48:59.75599104Z,39.77,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:49:59.745058048Z,40.04,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:50:59.753655808Z,40.31,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:51:59.757291008Z,40.14,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:52:59.756891904Z,39.94,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:53:59.753344Z,40.4,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:54:59.716207104Z,39.98,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:55:59.765842944Z,39.78,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:56:59.758951936Z,39.83,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:57:59.761908992Z,39.97,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:58:59.762204928Z,40.12,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T06:59:59.753542912Z,38.93,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T07:00:59.766882816Z,37.67,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T07:01:59.765382144Z,38.31,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T07:02:59.757323008Z,38.62,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2
,_result,0,2026-07-30T06:38:00Z,2026-07-30T07:04:00Z,2026-07-30T07:03:59.762953984Z,38.25,active_power,pdu_outlet,17,PDU [ Raritan ] PX4-5256CR-C8E8A0,outlet,192.168.10.72,16,Outlet 2

