Timestamp,Label
1770201773.577890316,Start_Idle_Baseline
1770201833.582625491,Stop_Idle_Baseline
1770201833.584852790,Start_Smooth_30pct
1770202013.594996581,Stop_Smooth_30pct
1770202043.600472679,Start_Burst_30pct
1770202223.778273548,Stop_Burst_30pct
1770202223.780460847,Start_Idle_End
1770202253.785475875,Stop_Idle_End
