Connecting to host localhost, port 5201
[  5] local 127.0.0.1 port 42498 connected to 127.0.0.1 port 5201
[  5]  69.02-69.14  sec   384 KBytes  26.4 Mbits/sec    0   2.75 MBytes       
[  5]  69.14-70.00  sec  10.3 GBytes   103 Gbits/sec    0   2.75 MBytes       
[  5]  70.00-71.00  sec  12.8 GBytes   110 Gbits/sec    0   2.75 MBytes       
[  5]  71.00-72.00  sec  12.4 GBytes   106 Gbits/sec    0   2.75 MBytes       
[  5]  72.00-73.00  sec  6.78 GBytes  58.2 Gbits/sec    0   2.75 MBytes       
[  5]  73.00-74.00  sec  11.9 GBytes   102 Gbits/sec    0   2.75 MBytes       
[  5]  74.00-75.00  sec   298 MBytes  2.51 Gbits/sec    0   2.75 MBytes       
[  5]  75.00-76.00  sec  11.4 GBytes  97.5 Gbits/sec    0   2.75 MBytes       
[  5]  76.00-77.00  sec  5.07 GBytes  43.6 Gbits/sec    0   2.75 MBytes       
[  5]  77.00-78.00  sec  10.6 GBytes  91.1 Gbits/sec    0   2.75 MBytes       
[  5]  78.00-79.00  sec  9.41 GBytes  80.9 Gbits/sec    0   2.75 MBytes       
[  5]  79.00-80.00  sec  6.61 GBytes  56.8 Gbits/sec    0   2.75 MBytes       
[  5]  80.00-81.27  sec   128 KBytes   824 Kbits/sec    0   2.75 MBytes       
[  5]  81.27-82.00  sec  8.92 GBytes   105 Gbits/sec    0   2.75 MBytes       
[  5]  82.00-83.00  sec  8.60 GBytes  73.9 Gbits/sec    0   2.75 MBytes       
[  5]  83.00-84.00  sec  11.1 GBytes  95.0 Gbits/sec    0   2.75 MBytes       
[  5]  84.00-85.00  sec  7.83 GBytes  67.3 Gbits/sec    0   2.75 MBytes       
[  5]  85.00-86.00  sec  12.0 GBytes   103 Gbits/sec    0   2.75 MBytes       
[  5]  86.00-87.00  sec  12.5 GBytes   107 Gbits/sec    0   2.75 MBytes       
[  5]  87.00-88.00  sec  6.89 GBytes  59.2 Gbits/sec    0   2.75 MBytes       
[  5]  88.00-89.00  sec  7.12 GBytes  61.1 Gbits/sec    0   2.75 MBytes       
[  5]  89.00-90.00  sec  6.33 GBytes  54.3 Gbits/sec    0   2.75 MBytes       
[  5]  90.00-91.00  sec  8.35 GBytes  71.7 Gbits/sec    0   2.75 MBytes       
[  5]  91.00-92.00  sec  11.4 GBytes  97.8 Gbits/sec    0   2.75 MBytes       
[  5]  92.00-93.00  sec  4.45 GBytes  38.2 Gbits/sec    0   2.75 MBytes       
[  5]  93.00-94.00  sec  12.7 GBytes   109 Gbits/sec    0   2.75 MBytes       
[  5]  94.00-95.00  sec  4.47 GBytes  38.4 Gbits/sec    0   2.75 MBytes       
[  5]  95.00-96.00  sec  12.7 GBytes   109 Gbits/sec    0   2.75 MBytes       
[  5]  96.00-98.71  sec   256 KBytes   775 Kbits/sec    0   2.75 MBytes       
[  5]  98.71-99.09  sec   256 KBytes  5.43 Mbits/sec    0   2.75 MBytes       
[  5]  99.09-99.21  sec  0.00 Bytes  0.00 bits/sec    0   2.75 MBytes       
[  5]  99.21-100.00 sec  5.25 GBytes  56.8 Gbits/sec    0   2.75 MBytes       
[  5] 100.00-101.00 sec  12.4 GBytes   106 Gbits/sec    0   2.75 MBytes       
[  5] 101.00-102.00 sec  9.11 GBytes  78.2 Gbits/sec    0   2.75 MBytes       
[  5] 102.00-103.00 sec  11.2 GBytes  96.1 Gbits/sec    0   2.75 MBytes       
[  5] 103.00-104.00 sec  9.98 GBytes  85.7 Gbits/sec    0   2.75 MBytes       
[  5] 104.00-105.00 sec  9.55 GBytes  82.0 Gbits/sec    0   2.75 MBytes       
[  5] 105.00-106.00 sec  11.7 GBytes   100 Gbits/sec    0   2.75 MBytes       
[  5] 106.00-107.00 sec  12.8 GBytes   110 Gbits/sec    0   2.75 MBytes       
[  5] 107.00-108.00 sec  11.9 GBytes   102 Gbits/sec    0   2.75 MBytes       
[  5] 108.00-109.00 sec   691 MBytes  5.80 Gbits/sec    0   2.75 MBytes       
[  5] 109.00-110.00 sec  12.1 GBytes   104 Gbits/sec    0   2.75 MBytes       
[  5] 110.00-111.00 sec  12.4 GBytes   107 Gbits/sec    0   2.75 MBytes       
[  5] 111.00-112.00 sec  12.7 GBytes   109 Gbits/sec    0   2.75 MBytes       
[  5] 112.00-113.00 sec  12.6 GBytes   109 Gbits/sec    0   2.75 MBytes       
[  5] 113.00-114.00 sec  12.9 GBytes   110 Gbits/sec    0   2.75 MBytes       
[  5] 114.00-115.00 sec  12.8 GBytes   110 Gbits/sec    0   2.75 MBytes       
[  5] 115.00-116.00 sec  12.7 GBytes   109 Gbits/sec    0   2.75 MBytes       
[  5] 116.00-117.00 sec  12.8 GBytes   110 Gbits/sec    0   2.75 MBytes       
[  5] 117.00-118.00 sec  12.8 GBytes   110 Gbits/sec    0   2.75 MBytes       
[  5] 118.00-119.00 sec  12.7 GBytes   109 Gbits/sec    0   2.75 MBytes       
[  5] 119.00-120.00 sec  12.8 GBytes   110 Gbits/sec    0   2.75 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-120.00 sec  1.43 TBytes   104 Gbits/sec    0             sender
[  5]   0.00-120.00 sec  1.43 TBytes   104 Gbits/sec                  receiver

iperf Done.
