timestamp_utc,power_w
2026-01-20T05:56:33Z,6.167114
2026-01-20T05:56:43Z,5.318457
2026-01-20T05:56:53Z,2.510942
2026-01-20T05:57:03Z,3.544496
2026-01-20T05:57:13Z,2.781363
2026-01-20T05:57:23Z,3.977912
2026-01-20T05:57:33Z,2.143579
2026-01-20T05:57:43Z,3.373163
2026-01-20T05:57:53Z,2.768984
2026-01-20T05:58:04Z,3.127367
2026-01-20T05:58:14Z,2.206173
2026-01-20T05:58:24Z,3.778696
2026-01-20T05:58:34Z,7.707832
2026-01-20T05:58:44Z,11.861328
2026-01-20T05:58:54Z,13.827620
2026-01-20T05:59:04Z,3.591038
2026-01-20T05:59:14Z,2.129367
2026-01-20T05:59:24Z,3.323120
2026-01-20T05:59:34Z,2.032959
2026-01-20T05:59:44Z,3.056896
2026-01-20T05:59:54Z,2.552262
2026-01-20T06:00:04Z,3.188738
2026-01-20T06:00:14Z,2.245349
2026-01-20T06:00:24Z,2.722220
2026-01-20T06:00:34Z,2.060344
2026-01-20T06:00:44Z,2.976980
2026-01-20T06:00:54Z,2.086071
2026-01-20T06:01:04Z,3.143642
2026-01-20T06:01:15Z,2.124948
2026-01-20T06:01:25Z,3.146136
2026-01-20T06:01:35Z,2.372688
2026-01-20T06:01:45Z,6.026937
2026-01-20T06:01:55Z,2.578773
2026-01-20T06:02:05Z,2.854337
2026-01-20T06:02:15Z,4.054152
2026-01-20T06:02:25Z,6.481035
2026-01-20T06:03:03Z,3.902185
2026-01-20T06:03:13Z,2.952740
2026-01-20T06:03:23Z,4.050049
2026-01-20T06:03:33Z,3.545365
2026-01-20T06:03:44Z,2.658040
2026-01-20T06:03:54Z,3.669891
2026-01-20T06:04:04Z,2.460313
2026-01-20T06:04:14Z,3.019241
2026-01-20T06:04:24Z,2.420714
2026-01-20T06:04:34Z,2.795083
2026-01-20T06:04:44Z,6.126546
2026-01-20T06:04:54Z,2.505934
2026-01-20T06:05:04Z,2.714346
2026-01-20T06:05:14Z,1.611096
2026-01-20T06:05:24Z,1.883318
2026-01-20T06:05:34Z,2.156985
2026-01-20T06:05:44Z,1.628884
2026-01-20T06:05:54Z,1.830908
2026-01-20T06:06:04Z,2.339009
2026-01-20T06:06:14Z,1.623521
2026-01-20T06:06:24Z,2.130158
2026-01-20T06:06:34Z,1.538878
2026-01-20T06:06:45Z,1.861389
2026-01-20T06:06:55Z,2.025555
2026-01-20T06:07:05Z,2.230373
2026-01-20T06:07:15Z,1.711933
2026-01-20T06:07:25Z,1.784566
2026-01-20T06:07:35Z,2.064374
2026-01-20T06:07:45Z,1.576313
2026-01-20T06:07:55Z,1.759765
2026-01-20T06:08:05Z,1.703008
